scenario,period,climate_effect,lulc_effect,interaction,combined_effect,climate_share_pct,lulc_share_pct,interaction_share_pct,interface
ssp245,late_2081_2100,0.027633692338042498,-0.004799636830771781,0.0011855036366625882,0.023120965548409284,82.1970604926554,14.276631370705614,3.5263081366389883,adopted
ssp245,mid_2041_2060,0.02119937805048186,-0.0033427943604979055,-0.00036644725855923543,0.017994059943467755,85.10860229002088,13.420231248646195,1.4711664613329314,adopted
ssp245,near_2021_2040,0.018200841486492897,-0.0015469661202883178,-0.0004520714336139209,0.016623010599545296,90.10371522569704,7.658293978863633,2.2379907954393263,adopted
ssp585,late_2081_2100,0.015762080089769315,-0.005904025128697601,-0.0011075550401153378,0.007953468326668406,69.21188737690673,25.924796724201016,4.863315898892255,adopted
ssp585,mid_2041_2060,0.019548897909341695,-0.005449636154021151,-0.0010377659793496252,0.01339117001531423,75.08324100302957,20.93091624033,3.9858427566404337,adopted
ssp585,near_2021_2040,0.020752030882333378,-0.0038978649015155298,-0.0007229998460862586,0.016757584291698963,81.78818525485892,15.362317956791633,2.8494967883494424,adopted
ssp245,late_2081_2100,0.027633692338042498,-0.004830253578669133,0.001208677846643011,0.023134650557457087,82.0657532725911,14.344749647711796,3.5894970796971126,reconstructed
ssp245,mid_2041_2060,0.02119937805048186,-0.0033965339747851347,-0.00032594172272916444,0.01799889022316911,85.06340766158455,13.628737288686773,1.3078550497286816,reconstructed
ssp245,near_2021_2040,0.018200841486492897,-0.0016479624583721347,-0.0004734353137234998,0.016515919148305525,89.56120068707934,8.109157841332259,2.3296414715884115,reconstructed
ssp585,late_2081_2100,0.015762080089769315,-0.006049534709471754,-0.001111434854359522,0.00788429648695202,68.76083386790343,26.390619053261684,4.848547078834887,reconstructed
ssp585,mid_2041_2060,0.019548897909341695,-0.00559278878694848,-0.0010213986392638708,0.01329749091469623,74.71939054059472,21.376640848043326,3.903968611361948,reconstructed
ssp585,near_2021_2040,0.020752030882333378,-0.004148900969289507,-0.0006195223768537123,0.016509365682731703,81.3152881079113,16.257159579315093,2.4275523127736025,reconstructed
ssp245,late_2081_2100,0.027633692338042498,-0.015195380262507191,-0.001390144656158776,0.010062596976668059,62.49249546327103,34.36374772147716,3.143756815251808,direct_hou
ssp245,mid_2041_2060,0.02119937805048186,-0.01131155581134477,-0.003375536177358446,0.007699070986112527,59.073455893917355,31.520391387042196,9.406152719040456,direct_hou
ssp245,near_2021_2040,0.018200841486492897,-0.01433113311832035,-0.0003938144437472535,0.0035648841423332467,55.27837604635516,43.525557116289974,1.1960668373548693,direct_hou
ssp585,late_2081_2100,0.015762080089769315,-0.03526518900426859,0.001226638787070189,-0.019312836598927408,30.16440440326942,67.48813712556489,2.347458471165692,direct_hou
ssp585,mid_2041_2060,0.019548897909341695,-0.029117006791262195,-0.0019325007943196693,-0.011153864824901397,38.63540306878444,57.545305047573976,3.819291883641577,direct_hou
ssp585,near_2021_2040,0.020752030882333378,-0.01949357324536298,0.0003934033462516945,-0.0006582641764495967,51.064315228753124,47.96764108439284,0.9680436868540373,direct_hou
