interface,scenario,period,threshold,baseline_area_km2,future_area_km2,delta_area_km2
harmonized,ssp585,near_2021_2040,0.1,127004.48846435547,140140.67152786255,13136.18306350708
harmonized,ssp585,near_2021_2040,0.11,120401.64361572266,134980.80018997192,14579.156574249268
harmonized,ssp585,near_2021_2040,0.12,115910.81970214844,126782.98048400879,10872.160781860352
harmonized,ssp585,near_2021_2040,0.13,111368.18328857422,117834.30670166016,6466.1234130859375
harmonized,ssp585,near_2021_2040,0.14,109098.79125976562,113110.4867553711,4011.6954956054688
harmonized,ssp585,near_2021_2040,0.15,106086.74365234375,110835.69543457031,4748.9517822265625
harmonized,ssp585,near_2021_2040,0.16,105334.8383178711,106635.66748046875,1300.8291625976562
harmonized,ssp585,near_2021_2040,0.17,98121.8803100586,102917.64440917969,4795.764099121094
harmonized,ssp585,near_2021_2040,0.18,92860.80279541016,96945.4829711914,4084.68017578125
harmonized,ssp585,near_2021_2040,0.19,87891.34106445312,91671.73071289062,3780.3896484375
harmonized,ssp585,near_2021_2040,0.2,83331.77001953125,90154.1337890625,6822.36376953125
reconstructed,ssp245,late_2081_2100,0.08,142096.1459350586,169744.74745178223,27648.601516723633
reconstructed,ssp245,late_2081_2100,0.09,134541.96411132812,161522.74745178223,26980.7833404541
reconstructed,ssp245,late_2081_2100,0.1,127004.48846435547,154736.4278717041,27731.939407348633
reconstructed,ssp245,late_2081_2100,0.11,120401.64361572266,150289.8322906494,29888.188674926758
reconstructed,ssp245,late_2081_2100,0.12,115910.81970214844,141363.3830871582,25452.563385009766
reconstructed,ssp245,late_2081_2100,0.13,111368.18328857422,135513.25588989258,24145.07260131836
reconstructed,ssp245,late_2081_2100,0.14,109098.79125976562,126792.36611938477,17693.57485961914
reconstructed,ssp245,late_2081_2100,0.15,106086.74365234375,122256.55526733398,16169.811614990234
reconstructed,ssp245,late_2081_2100,0.16,105334.8383178711,118501.97640991211,13167.138092041016
reconstructed,ssp245,late_2081_2100,0.17,98121.8803100586,113225.99154663086,15104.111236572266
reconstructed,ssp245,late_2081_2100,0.18,92860.80279541016,108120.66891479492,15259.866119384766
reconstructed,ssp245,late_2081_2100,0.19,87891.34106445312,103820.56091308594,15929.219848632812
reconstructed,ssp245,late_2081_2100,0.2,83331.77001953125,103066.61431884766,19734.844299316406
reconstructed,ssp245,mid_2041_2060,0.08,142096.1459350586,165812.16760253906,23716.02166748047
reconstructed,ssp245,mid_2041_2060,0.09,134541.96411132812,156772.51806640625,22230.553955078125
reconstructed,ssp245,mid_2041_2060,0.1,127004.48846435547,147715.84704589844,20711.35858154297
