climate_model,ACCESS-CM2,ACCESS-ESM1-5,CanESM5,INM-CM5-0,IPSL-CM6A-LR,MIROC6,TaiESM1
ACCESS-CM2,1.0,0.6797830956264591,0.46832253906685267,0.4366077954157588,0.6104379092773183,0.633770297526559,0.6135999060914512
ACCESS-ESM1-5,0.6797830956264591,1.0,0.5528000209570225,0.6181459625307527,0.538012283790077,0.5301523614482251,0.6179938480730653
CanESM5,0.46832253906685267,0.5528000209570225,1.0,0.5195868695259653,0.6068080427651881,0.4955801169832854,0.48112120143944315
INM-CM5-0,0.4366077954157588,0.6181459625307527,0.5195868695259653,1.0,0.47257083995340116,0.49897584801623457,0.6604016138856935
IPSL-CM6A-LR,0.6104379092773183,0.538012283790077,0.6068080427651881,0.47257083995340116,1.0,0.5734663272647655,0.5811916810445567
MIROC6,0.633770297526559,0.5301523614482251,0.4955801169832854,0.49897584801623457,0.5734663272647655,1.0,0.7168146008162121
TaiESM1,0.6135999060914512,0.6179938480730653,0.48112120143944315,0.6604016138856935,0.5811916810445567,0.7168146008162121,1.0
