scenario,period,climate_effect,lulc_effect,interaction,combined_effect,climate_share_pct,lulc_share_pct,interaction_share_pct,tail_treatment
ssp245,late_2081_2100,0.027633692338042498,-0.004799636830771781,0.0011855036366625882,0.023120965548409284,82.1970604926554,14.276631370705614,3.5263081366389883,raw
ssp245,mid_2041_2060,0.02119937805048186,-0.0033427943604979055,-0.00036644725855923543,0.017994059943467755,85.10860229002088,13.420231248646195,1.4711664613329314,raw
ssp245,near_2021_2040,0.018200841486492897,-0.0015469661202883178,-0.0004520714336139209,0.016623010599545296,90.10371522569704,7.658293978863633,2.2379907954393263,raw
ssp585,late_2081_2100,0.015762080089769315,-0.005904025128697601,-0.0011075550401153378,0.007953468326668406,69.21188737690673,25.924796724201016,4.863315898892255,raw
ssp585,mid_2041_2060,0.019548897909341695,-0.005449636154021151,-0.0010377659793496252,0.01339117001531423,75.08324100302957,20.93091624033,3.9858427566404337,raw
ssp585,near_2021_2040,0.020752030882333378,-0.0038978649015155298,-0.0007229998460862586,0.016757584291698963,81.78818525485892,15.362317956791633,2.8494967883494424,raw
ssp245,late_2081_2100,0.028191943444331125,-0.004799636830771781,0.0012001117131041905,0.023704835222257636,82.4526129156015,14.037435855549944,3.509951228848563,cap500
ssp245,mid_2041_2060,0.019766416125135106,-0.0033427943604979055,-0.00036644725855923543,0.01716790976848373,84.19962644081916,14.239406609703599,1.5609669494772411,cap500
ssp245,near_2021_2040,0.018200841486492897,-0.0015469661202883178,-0.0004935726730623813,0.016623010599545296,89.91897407617667,7.642592051041053,2.4384338727822916,cap500
ssp585,late_2081_2100,0.015762080089769315,-0.005904025128697601,-0.001105404235169638,0.007953468326668406,69.21842454871673,25.927245362097604,4.854330089185668,cap500
ssp585,mid_2041_2060,0.0194317744540021,-0.005449636154021151,-0.0010429142492209276,0.013441832613859478,74.9557589677101,21.021323347976523,4.022917684313389,cap500
ssp585,near_2021_2040,0.02075339719656033,-0.0038978649015155298,-0.0007302931329880857,0.016758950605925887,81.76566411171167,15.357076688291409,2.8772591999969155,cap500
ssp245,late_2081_2100,0.02841827883169329,-0.004799636830771781,0.0011781995984418148,0.024098895716166746,82.6206058914806,13.954008452305768,3.4253856562136384,exclude500
ssp245,mid_2041_2060,0.01890876720852086,-0.0033427943604979055,-0.00036644725855923543,0.01716790976848373,83.6004944231232,14.779348553538703,1.6201570233380955,exclude500
ssp245,near_2021_2040,0.018200841486492897,-0.0015469661202883178,-0.00046652040194067323,0.016623010599545296,90.03931013012043,7.6528199187271895,2.3078699511523877,exclude500
ssp585,late_2081_2100,0.01576527490208468,-0.005904025128697601,-0.0011097058450610375,0.007956663138983772,69.20967046592423,25.91871287481734,4.87161665925842,exclude500
ssp585,mid_2041_2060,0.01806144428733339,-0.005449636154021151,-0.0010378001343456233,0.01185987376787953,73.57339261005491,22.199122836645763,4.227484553299327,exclude500
ssp585,near_2021_2040,0.020588351656939674,-0.0038978649015155298,-0.0008031817100655481,0.015496464536026405,81.41099854703637,15.413039330269232,3.1759621226943824,exclude500
