scenario,period,state,n_rows,pct_rows_any_outside_training_minmax,pct_rows_any_outside_training_p01_p99,pct_rows_mahalanobis_above_hist_p99,historical_mahalanobis_p99,future_mahalanobis_median,future_mahalanobis_p99
ssp245,late_2081_2100,C1L0,4333,0.2538656819755366,12.993307177475192,0.8077544426494345,12.12590621732414,2.758032775832422,10.76764681683304
ssp245,late_2081_2100,C1L1,4333,0.9000692360950842,19.063004846526656,1.223171013154858,12.12590621732414,2.9146395410245174,14.866351021754992
ssp245,mid_2041_2060,C1L0,4333,0.18462958689129935,12.347103623355643,0.8077544426494345,12.12590621732414,2.5799536286799563,10.669260102826222
ssp245,mid_2041_2060,C1L1,4333,0.830833141010847,14.562658666051234,1.1308562197092082,12.12590621732414,2.645817077566973,14.876328455110011
ssp245,near_2021_2040,C1L0,4333,0.5077313639510732,11.239326102007846,0.8077544426494345,12.12590621732414,2.39751537729763,10.764582021311098
ssp245,near_2021_2040,C1L1,4333,0.6692822524809601,11.585506577429033,0.9693053311793215,12.12590621732414,2.411412564575101,11.684821190320369
ssp585,late_2081_2100,C1L0,4333,0.6692822524809601,21.02469420724671,0.9231479344564966,12.12590621732414,3.3883298445482577,11.588257460879326
ssp585,late_2081_2100,C1L1,4333,0.830833141010847,19.916916685898915,0.9231479344564966,12.12590621732414,3.3459004538924915,11.33593191130581
ssp585,mid_2041_2060,C1L0,4333,0.23078698361412414,13.339487652896375,0.830833141010847,12.12590621732414,2.7695759230808448,10.979699357339083
ssp585,mid_2041_2060,C1L1,4333,0.39233787214401106,12.416339718439879,0.6692822524809601,12.12590621732414,2.71904441384493,9.594802086040016
ssp585,near_2021_2040,C1L0,4333,0.3000230786983614,12.624048003692593,0.8077544426494345,12.12590621732414,2.54682876995364,10.773118560054328
ssp585,near_2021_2040,C1L1,4333,0.4615739672282483,12.024001846295869,0.6462035541195477,12.12590621732414,2.5313118799728653,9.912743783065475
