scenario,period,adopted,direct_hou,reconstructed,direct_minus_adopted_pp
ssp245,late_2081_2100,82.1970604926554,62.49249546327103,82.0657532725911,-19.70456502938437
ssp245,mid_2041_2060,85.10860229002088,59.073455893917355,85.06340766158455,-26.035146396103528
ssp245,near_2021_2040,90.10371522569704,55.27837604635516,89.56120068707934,-34.82533917934188
ssp585,late_2081_2100,69.21188737690673,30.16440440326942,68.76083386790343,-39.047482973637315
ssp585,mid_2041_2060,75.08324100302957,38.63540306878444,74.71939054059472,-36.44783793424513
ssp585,near_2021_2040,81.78818525485892,51.064315228753124,81.3152881079113,-30.723870026105793
